freq,geo,hhtyp,indic_is,unit,time_period,obs_value,key1
M,AT,,,I05,2010-01,108.12,AT2010-01
M,AT,,,I05,2010-02,108.34,AT2010-02
M,AT,,,I05,2010-03,109.46,AT2010-03
M,AT,,,I05,2010-04,109.69,AT2010-04
M,AT,,,I05,2010-05,109.63,AT2010-05
M,AT,,,I05,2010-06,109.63,AT2010-06
M,AT,,,I05,2010-07,109.07,AT2010-07
M,AT,,,I05,2010-08,109.36,AT2010-08
M,AT,,,I05,2010-09,109.78,AT2010-09
M,AT,,,I05,2010-10,110.18,AT2010-10
M,AT,,,I05,2010-11,110.18,AT2010-11
M,AT,,,I05,2010-12,110.93,AT2010-12
M,AT,,,I05,2011-01,110.86,AT2011-01
M,AT,,,I05,2011-02,111.75,AT2011-02
M,AT,,,I05,2011-03,113.11,AT2011-03
M,AT,,,I05,2011-04,113.78,AT2011-04
M,AT,,,I05,2011-05,113.68,AT2011-05
M,AT,,,I05,2011-06,113.64,AT2011-06
M,AT,,,I05,2011-07,113.23,AT2011-07
M,AT,,,I05,2011-08,113.42,AT2011-08
M,AT,,,I05,2011-09,114.10,AT2011-09
M,AT,,,I05,2011-10,114.35,AT2011-10
M,AT,,,I05,2011-11,114.43,AT2011-11
M,AT,,,I05,2011-12,114.70,AT2011-12
M,AT,,,I05,2012-01,114.07,AT2012-01
M,AT,,,I05,2012-02,114.68,AT2012-02
M,AT,,,I05,2012-03,116.10,AT2012-03
M,AT,,,I05,2012-04,116.43,AT2012-04
M,AT,,,I05,2012-05,116.19,AT2012-05
M,AT,,,I05,2012-06,116.18,AT2012-06
M,AT,,,I05,2012-07,115.59,AT2012-07
M,AT,,,I05,2012-08,116.01,AT2012-08
M,AT,,,I05,2012-09,117.32,AT2012-09
M,AT,,,I05,2012-10,117.68,AT2012-10
M,AT,,,I05,2012-11,117.76,AT2012-11
M,AT,,,I05,2012-12,118.05,AT2012-12
M,AT,,,I05,2013-01,117.30,AT2013-01
M,AT,,,I05,2013-02,117.70,AT2013-02
M,AT,,,I05,2013-03,118.84,AT2013-03
M,AT,,,I05,2013-04,118.85,AT2013-04
M,AT,,,I05,2013-05,119.00,AT2013-05
M,AT,,,I05,2013-06,118.79,AT2013-06
M,AT,,,I05,2013-07,118.04,AT2013-07
M,AT,,,I05,2013-08,118.31,AT2013-08
M,AT,,,I05,2013-09,119.45,AT2013-09
