geo,new_time_period,obs_value,key1
AT,2010-Q1,113.76,AT2010-Q1
AT,2010-Q2,114.21,AT2010-Q2
AT,2010-Q3,115.48,AT2010-Q3
AT,2010-Q4,116.02,AT2010-Q4
AT,2011-Q1,116.65,AT2011-Q1
AT,2011-Q2,117.73,AT2011-Q2
AT,2011-Q3,119.54,AT2011-Q3
AT,2011-Q4,120.62,AT2011-Q4
AT,2012-Q1,121.7,AT2012-Q1
AT,2012-Q2,123.6,AT2012-Q2
AT,2012-Q3,124.5,AT2012-Q3
AT,2012-Q4,125.58,AT2012-Q4
AT,2013-Q1,126.58,AT2013-Q1
AT,2013-Q2,127.21,AT2013-Q2
AT,2013-Q3,128.02,AT2013-Q3
AT,2013-Q4,128.92,AT2013-Q4
AT,2014-Q1,130.45,AT2014-Q1
AT,2014-Q2,131.9,AT2014-Q2
AT,2014-Q3,133.43,AT2014-Q3
AT,2014-Q4,135.24,AT2014-Q4
AT,2015-Q1,137.04,AT2015-Q1
AT,2015-Q2,138.39,AT2015-Q2
AT,2015-Q3,139.39,AT2015-Q3
AT,2015-Q4,139.57,AT2015-Q4
AT,2016-Q1,140.56,AT2016-Q1
AT,2016-Q2,142.27,AT2016-Q2
AT,2016-Q3,143.63,AT2016-Q3
AT,2016-Q4,145.07,AT2016-Q4
AT,2017-Q1,146.33,AT2017-Q1
AT,2017-Q2,147.87,AT2017-Q2
AT,2017-Q3,149.67,AT2017-Q3
AT,2017-Q4,151.29,AT2017-Q4
AT,2018-Q1,152.38,AT2018-Q1
AT,2018-Q2,153.46,AT2018-Q2
AT,2018-Q3,155.08,AT2018-Q3
AT,2018-Q4,156.44,AT2018-Q4
AT,2019-Q1,157.25,AT2019-Q1
AT,2019-Q2,158.51,AT2019-Q2
AT,2019-Q3,159.68,AT2019-Q3
AT,2019-Q4,160.23,AT2019-Q4
AT,2020-Q1,161.76,AT2020-Q1
AT,2020-Q2,163.83,AT2020-Q2
AT,2020-Q3,166.99,AT2020-Q3
AT,2020-Q4,169.16,AT2020-Q4
AT,2021-Q1,170.53,AT2021-Q1
AT,2021-Q2,170.17,AT2021-Q2
AT,2021-Q3,167.69,AT2021-Q3
AT,2021-Q4,166.33,AT2021-Q4
AT,2022-Q1,166.85,AT2022-Q1
AT,2022-Q2,168.71,AT2022-Q2
AT,2022-Q3,170.96,AT2022-Q3
AT,2022-Q4,173.8,AT2022-Q4
AT,2023-Q1,177.44,AT2023-Q1
AT,2023-Q2,181.02,AT2023-Q2
AT,2023-Q3,185.32,AT2023-Q3
AT,2023-Q4,189.92,AT2023-Q4
BE,2010-Q1,109.16,BE2010-Q1
BE,2010-Q2,109.45,BE2010-Q2
BE,2010-Q3,109.68,BE2010-Q3
BE,2010-Q4,109.89,BE2010-Q4
BE,2011-Q1,110.35,BE2011-Q1
BE,2011-Q2,110.78,BE2011-Q2
BE,2011-Q3,110.96,BE2011-Q3
BE,2011-Q4,111.24,BE2011-Q4
BE,2012-Q1,111.93,BE2012-Q1
BE,2012-Q2,112.45,BE2012-Q2
BE,2012-Q3,112.78,BE2012-Q3
BE,2012-Q4,112.98,BE2012-Q4
BE,2013-Q1,113.46,BE2013-Q1
BE,2013-Q2,113.98,BE2013-Q2
BE,2013-Q3,114.22,BE2013-Q3
BE,2013-Q4,114.58,BE2013-Q4
BE,2014-Q1,115.5,BE2014-Q1
BE,2014-Q2,115.89,BE2014-Q2
BE,2014-Q3,116.21,BE2014-Q3
BE,2014-Q4,116.55,BE2014-Q4
BE,2015-Q1,116.95,BE2015-Q1
BE,2015-Q2,117.1,BE2015-Q2
BE,2015-Q3,117.24,BE2015-Q3
BE,2015-Q4,117.52,BE2015-Q4
BE,2016-Q1,118.03,BE2016-Q1
BE,2016-Q2,118.23,BE2016-Q2
BE,2016-Q3,118.4,BE2016-Q3
BE,2016-Q4,118.61,BE2016-Q4
BE,2017-Q1,119.26,BE2017-Q1
BE,2017-Q2,119.49,BE2017-Q2
BE,2017-Q3,119.67,BE2017-Q3
BE,2017-Q4,119.94,BE2017-Q4
BE,2018-Q1,120.55,BE2018-Q1
BE,2018-Q2,120.77,BE2018-Q2
BE,2018-Q3,120.94,BE2018-Q3
BE,2018-Q4,121.12,BE2018-Q4
BE,2019-Q1,121.76,BE2019-Q1
BE,2019-Q2,121.97,BE2019-Q2
BE,2019-Q3,122.17,BE2019-Q3
BE,2019-Q4,122.58,BE2019-Q4
BE,2020-Q1,124.72,BE2020-Q1
BE,2020-Q2,125.29,BE2020-Q2
BE,2020-Q3,125.09,BE2020-Q3
BE,2020-Q4,126.4,BE2020-Q4
BE,2021-Q1,126.95,BE2021-Q1
BE,2021-Q2,127.52,BE2021-Q2
BE,2021-Q3,127.86,BE2021-Q3
BE,2021-Q4,129.3,BE2021-Q4
BE,2022-Q1,130.02,BE2022-Q1
BE,2022-Q2,131.41,BE2022-Q2
BE,2022-Q3,132.69,BE2022-Q3
BE,2022-Q4,135.46,BE2022-Q4
BE,2023-Q1,137.91,BE2023-Q1
BE,2023-Q2,139.47,BE2023-Q2
BE,2023-Q3,140.48,BE2023-Q3
BE,2023-Q4,143.15,BE2023-Q4
BG,2010-Q1,135.91,BG2010-Q1
BG,2010-Q2,137.86,BG2010-Q2
BG,2010-Q3,137.75,BG2010-Q3
BG,2010-Q4,139.06,BG2010-Q4
BG,2011-Q1,139.49,BG2011-Q1
BG,2011-Q2,139.49,BG2011-Q2
BG,2011-Q3,139.48,BG2011-Q3
BG,2011-Q4,139.52,BG2011-Q4
BG,2012-Q1,139.49,BG2012-Q1
BG,2012-Q2,140.09,BG2012-Q2
BG,2012-Q3,141.68,BG2012-Q3
BG,2012-Q4,141.65,BG2012-Q4
BG,2013-Q1,141.41,BG2013-Q1
BG,2013-Q2,141.53,BG2013-Q2
BG,2013-Q3,141.53,BG2013-Q3
BG,2013-Q4,141.28,BG2013-Q4
BG,2014-Q1,141.33,BG2014-Q1
BG,2014-Q2,141.59,BG2014-Q2
BG,2014-Q3,141.88,BG2014-Q3
BG,2014-Q4,142.29,BG2014-Q4
BG,2015-Q1,142.73,BG2015-Q1
BG,2015-Q2,142.77,BG2015-Q2
BG,2015-Q3,142.8,BG2015-Q3
BG,2015-Q4,142.99,BG2015-Q4
BG,2016-Q1,143.01,BG2016-Q1
BG,2016-Q2,143.7,BG2016-Q2
BG,2016-Q3,143.8,BG2016-Q3
BG,2016-Q4,144.18,BG2016-Q4
BG,2017-Q1,144.45,BG2017-Q1
BG,2017-Q2,145.1,BG2017-Q2
BG,2017-Q3,145.23,BG2017-Q3
BG,2017-Q4,145.67,BG2017-Q4
BG,2018-Q1,146.39,BG2018-Q1
BG,2018-Q2,147.45,BG2018-Q2
BG,2018-Q3,148.42,BG2018-Q3
BG,2018-Q4,149.13,BG2018-Q4
BG,2019-Q1,150.86,BG2019-Q1
BG,2019-Q2,152.87,BG2019-Q2
BG,2019-Q3,153.37,BG2019-Q3
BG,2019-Q4,153.62,BG2019-Q4
BG,2020-Q1,155.64,BG2020-Q1
BG,2020-Q2,156.51,BG2020-Q2
BG,2020-Q3,156.9,BG2020-Q3
BG,2020-Q4,157.11,BG2020-Q4
BG,2021-Q1,158.23,BG2021-Q1
BG,2021-Q2,158.93,BG2021-Q2
BG,2021-Q3,159.26,BG2021-Q3
BG,2021-Q4,160.1,BG2021-Q4
BG,2022-Q1,164.99,BG2022-Q1
BG,2022-Q2,168.8,BG2022-Q2
BG,2022-Q3,170.54,BG2022-Q3
BG,2022-Q4,172.52,BG2022-Q4
BG,2023-Q1,180.58,BG2023-Q1
BG,2023-Q2,183.1,BG2023-Q2
BG,2023-Q3,184.05,BG2023-Q3
BG,2023-Q4,185.91,BG2023-Q4
CY,2010-Q1,113.21,CY2010-Q1
CY,2010-Q2,113.45,CY2010-Q2
CY,2010-Q3,113.02,CY2010-Q3
CY,2010-Q4,113.36,CY2010-Q4
CY,2011-Q1,113.14,CY2011-Q1
CY,2011-Q2,114.08,CY2011-Q2
CY,2011-Q3,114.08,CY2011-Q3
CY,2011-Q4,114.24,CY2011-Q4
CY,2012-Q1,114.29,CY2012-Q1
CY,2012-Q2,114.49,CY2012-Q2
CY,2012-Q3,114.37,CY2012-Q3
CY,2012-Q4,114.32,CY2012-Q4
CY,2013-Q1,110.56,CY2013-Q1
CY,2013-Q2,107.2,CY2013-Q2
CY,2013-Q3,105.98,CY2013-Q3
CY,2013-Q4,103.15,CY2013-Q4
CY,2014-Q1,101.56,CY2014-Q1
CY,2014-Q2,100.65,CY2014-Q2
CY,2014-Q3,100.09,CY2014-Q3
CY,2014-Q4,99.4,CY2014-Q4
CY,2015-Q1,99.46,CY2015-Q1
CY,2015-Q2,99.43,CY2015-Q2
CY,2015-Q3,99.18,CY2015-Q3
CY,2015-Q4,98.99,CY2015-Q4
CY,2016-Q1,98.82,CY2016-Q1
CY,2016-Q2,98.71,CY2016-Q2
CY,2016-Q3,98.68,CY2016-Q3
CY,2016-Q4,98.86,CY2016-Q4
CY,2017-Q1,99.11,CY2017-Q1
CY,2017-Q2,99.36,CY2017-Q2
CY,2017-Q3,99.67,CY2017-Q3
CY,2017-Q4,99.9,CY2017-Q4
CY,2018-Q1,100.82,CY2018-Q1
CY,2018-Q2,101.48,CY2018-Q2
CY,2018-Q3,102.49,CY2018-Q3
CY,2018-Q4,103.17,CY2018-Q4
CY,2019-Q1,104.5,CY2019-Q1
CY,2019-Q2,105.33,CY2019-Q2
CY,2019-Q3,105.62,CY2019-Q3
CY,2019-Q4,106.28,CY2019-Q4
CY,2020-Q1,107.56,CY2020-Q1
CY,2020-Q2,107.79,CY2020-Q2
CY,2020-Q3,108.21,CY2020-Q3
CY,2020-Q4,108.62,CY2020-Q4
